一级行业代码,一级行业,二级行业代码,二级行业,三级行业代码,三级行业,股票代码,股票名称,龙头排名,质量分,规模地位分,盈利能力,成长稳定性,现金流质量,同行相对估值,财务稳健与波动,覆盖率,资格状态,生命周期,公式版本,首次进入,最近可见,低估池状态,估值标签,历史估值标签,买入档,现价,合理价值低,合理价值中,合理价值高,低估池as_of
881015.SH,化工,881019.SH,化纤,881023.SH,锦纶,601113.SH,华鼎股份,2,58.1667,65.0,80.0,25.0,60.0,37.5,92.5,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,ATTENTION,3.48,4.79,6.32,8.74,2026-09-07
881015.SH,化工,881019.SH,化纤,881024.SH,碳纤维,300699.SZ,光威复材,1,71.5556,86.6667,80.0,56.6667,63.3333,80.0,76.6667,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881019.SH,化纤,881024.SH,碳纤维,688295.SH,中复神鹰,2,19.1111,50.0,0.0,20.0,53.3333,0.0,33.3333,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881019.SH,化纤,881025.SH,其他化学纤维,001369.SZ,双欣材料,1,75.9921,100.0,90.0,,50.0,80.0,80.9524,0.8,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,INSUFFICIENT_DATA,WAIT,12.49,12.99,13.93,14.21,2026-09-07
881015.SH,化工,881019.SH,化纤,881025.SH,其他化学纤维,688722.SH,同益中,2,59.5556,53.3333,76.6667,86.6667,60.0,40.0,13.3333,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881026.SH,化学原料,881027.SH,煤化工,600989.SH,宝丰能源,1,83.3571,100.0,100.0,92.5,80.0,78.5714,48.5714,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881026.SH,化学原料,881027.SH,煤化工,600426.SH,华鲁恒升,2,63.9714,81.4286,77.1429,65.0,52.8571,70.5714,42.8571,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881026.SH,化学原料,881028.SH,钛白粉,002601.SZ,龙佰集团,1,71.5333,100.0,94.0,67.0,89.3333,36.0,60.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881026.SH,化学原料,881028.SH,钛白粉,002145.SZ,钛能化学,2,75.6,80.0,86.0,92.0,50.6667,74.0,70.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,WATCH,4.27,5.61,8.33,8.44,2026-09-07
881015.SH,化工,881026.SH,化学原料,881029.SH,氯碱,601216.SH,君正集团,1,83.6855,97.6923,100.0,79.5385,83.2479,83.8461,57.6923,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881026.SH,化学原料,881029.SH,氯碱,601678.SH,滨化股份,2,67.1863,84.6154,65.3846,69.6923,90.0855,63.8462,37.6923,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881026.SH,化学原料,881030.SH,纯碱,000683.SZ,博源化工,1,74.1111,100.0,100.0,71.6667,93.3333,50.0,33.3333,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881026.SH,化学原料,881030.SH,纯碱,603077.SH,和邦生物,2,49.9683,56.6667,46.6667,47.6191,43.3334,50.0,70.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-09-01T08:45:27.258219+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881026.SH,化学原料,881031.SH,无机盐,603067.SH,振华股份,1,60.5357,91.4286,92.5,92.1428,38.0952,49.1072,0.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881026.SH,化学原料,881032.SH,有机化工原料,002648.SZ,卫星化学,1,74.2511,100.0,84.7728,87.7273,72.013,72.7273,38.6364,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881026.SH,化学原料,881032.SH,有机化工原料,600273.SH,嘉化能源,2,67.2762,85.0,66.3636,64.0909,51.1688,95.9697,55.0,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,DEEPLY_UNDERVALUED,NORMAL,ATTENTION,6.69,12.7,20.66,41.37,2026-09-07
881015.SH,化工,881026.SH,化学原料,881033.SH,其他化学原料,603938.SH,三孚股份,1,34.6549,86.1539,30.0,48.6593,53.8461,11.5384,28.8462,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881026.SH,化学原料,881033.SH,其他化学原料,002125.SZ,湘潭电化,2,61.7253,83.8462,52.3077,57.4725,68.4616,83.8462,43.6538,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T03:42:13.612837+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881034.SH,化学制品,881035.SH,聚氨酯,600309.SH,万华化学,1,68.2667,100.0,80.0,76.6667,51.3333,80.0,40.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881034.SH,化学制品,881035.SH,聚氨酯,920261.BJ,一诺威,2,48.2778,63.3333,43.3333,,16.6667,72.0,70.0,0.8,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881034.SH,化学制品,881036.SH,涂料油墨,603823.SH,百合花,1,61.2373,97.8571,61.3333,65.5357,71.9841,41.3333,68.3333,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T03:42:13.612837+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881034.SH,化学制品,881037.SH,民爆制品,002683.SZ,广东宏大,1,61.0286,100.0,45.0,77.0,76.1429,62.6667,44.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881034.SH,化学制品,881037.SH,民爆制品,002226.SZ,江南化工,2,60.7587,83.0,51.0,53.3333,64.5714,73.2222,67.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,ACTIVE,UNDERVALUED,NORMAL,ATTENTION,5.11,5.48,7.44,12.13,2026-09-07
881015.SH,化工,881034.SH,化学制品,881038.SH,纺织化学品,600352.SH,浙江龙盛,1,67.0078,100.0,76.6667,36.7532,94.2857,93.3333,12.6667,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T03:42:13.612837+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881034.SH,化学制品,881038.SH,纺织化学品,002440.SZ,闰土股份,2,68.0791,93.0476,66.0,52.0779,61.4286,90.0,73.3333,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881034.SH,化学制品,881039.SH,氟化工,600160.SH,巨化股份,1,68.2183,100.0,88.8889,52.3611,85.3968,61.1111,35.5556,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881034.SH,化学制品,881039.SH,氟化工,600378.SH,昊华科技,2,58.9749,85.5556,62.2223,64.0278,74.9206,58.8889,21.1111,1.0,eligible,REENTERED,value-leader-v3.0.0,2026-09-07T04:39:45.299965+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
881015.SH,化工,881034.SH,化学制品,881040.SH,食品助剂,002001.SZ,新 和 成,1,80.6424,100.0,95.0,73.5455,72.1667,77.5,80.0,1.0,eligible,ACTIVE,value-leader-v3.0.0,2026-08-19T04:45:57.909320+00:00,2026-09-08T02:28:25.434433+00:00,,,,,,,,,
