一级行业,二级行业,三级行业代码,三级行业,第1名代码,第1名名称,第1名质量分,第2名代码,第2名名称,第2名质量分,公式版本
化工,化纤,881021.SH,氨纶,002064.SZ,华峰化学,75.0,000949.SZ,新乡化纤,40.0,value-leader-v3.0.0
化工,化纤,881022.SH,粘胶纤维,600409.SH,三友化工,57.0,000420.SZ,吉林化纤,44.2857,value-leader-v3.0.0
化工,化纤,881023.SH,锦纶,600810.SH,神马股份,40.2143,601113.SH,华鼎股份,58.1667,value-leader-v3.0.0
化工,化纤,881024.SH,碳纤维,300699.SZ,光威复材,71.5556,688295.SH,中复神鹰,19.1111,value-leader-v3.0.0
化工,化纤,881025.SH,其他化学纤维,001369.SZ,双欣材料,75.9921,688722.SH,同益中,59.5556,value-leader-v3.0.0
化工,塑料,881045.SH,合成树脂,605589.SH,圣泉集团,66.3853,301216.SZ,万凯新材,46.9957,value-leader-v3.0.0
化工,塑料,881046.SH,塑料薄膜,601208.SH,东材科技,45.9994,000973.SZ,佛塑科技,60.7277,value-leader-v3.0.0
化工,塑料,881047.SH,改性塑料,600143.SH,金发科技,55.2569,002768.SZ,国恩股份,56.7597,value-leader-v3.0.0
化工,塑料,881048.SH,合成革,300180.SZ,华峰超纤,47.9365,002395.SZ,双象股份,61.0,value-leader-v3.0.0
化工,塑料,881049.SH,塑料助剂,300596.SZ,利安隆,76.2692,600746.SH,江苏索普,60.7637,value-leader-v3.0.0
化工,塑料,881050.SH,其他塑料制品,603150.SH,万朗磁塑,44.4536,605488.SH,福莱新材,34.9886,value-leader-v3.0.0
化工,日用化工,881017.SH,洗护用品,600315.SH,上海家化,49.3952,603193.SH,润本股份,70.5655,value-leader-v3.0.0
化工,日用化工,881018.SH,化妆品,603605.SH,珀莱雅,76.3515,300957.SZ,贝泰妮,64.3046,value-leader-v3.0.0
化工,橡胶,881052.SH,橡胶助剂,603650.SH,彤程新材,46.6667,300121.SZ,阳谷华泰,53.3333,value-leader-v3.0.0
化工,橡胶,881053.SH,炭黑,605183.SH,确成股份,73.8333,002068.SZ,黑猫股份,8.5357,value-leader-v3.0.0
化工,橡胶,881054.SH,橡胶制品,300320.SZ,海达股份,66.6659,605008.SH,长鸿高科,31.372,value-leader-v3.0.0
化工,非金属材料,881104.SH,非金属材料,688300.SH,联瑞新材,62.4414,603612.SH,索通发展,55.8333,value-leader-v3.0.0
医药医疗,中药,881256.SH,中药,000538.SZ,云南白药,59.9963,000999.SZ,华润三九,71.6836,value-leader-v3.0.0
医药医疗,化学制药,881232.SH,化学制剂,600276.SH,恒瑞医药,68.098,600196.SH,复星医药,59.8685,value-leader-v3.0.0
医药医疗,化学制药,881233.SH,原料药,000739.SZ,普洛药业,54.7365,600216.SH,浙江医药,67.9486,value-leader-v3.0.0
医药医疗,医疗器械,881242.SH,家用器械,002223.SZ,鱼跃医疗,71.6,002432.SZ,九安医疗,58.8,value-leader-v3.0.0
医药医疗,医疗器械,881243.SH,医疗设备,300760.SZ,迈瑞医疗,70.381,688271.SH,联影医疗,54.6735,value-leader-v3.0.0
医药医疗,医疗器械,881244.SH,医疗耗材,300677.SZ,英科医疗,40.3027,300003.SZ,乐普医疗,55.6296,value-leader-v3.0.0
医药医疗,医疗器械,881245.SH,体外诊断,300482.SZ,万孚生物,32.1429,688389.SH,普门科技,64.8333,value-leader-v3.0.0
医药医疗,医疗器械,881246.SH,制药装备,300358.SZ,楚天科技,50.4,300171.SZ,东富龙,45.9556,value-leader-v3.0.0
医药医疗,医疗服务,881248.SH,诊断服务,300244.SZ,迪安诊断,61.8667,603882.SH,金域医学,49.0095,value-leader-v3.0.0
医药医疗,医疗服务,881249.SH,医疗研发外包,603259.SH,药明康德,77.9399,300759.SZ,康龙化成,63.0633,value-leader-v3.0.0
医药医疗,医疗服务,881250.SH,医院,300015.SZ,爱尔眼科,81.6825,002044.SZ,美年健康,55.7143,value-leader-v3.0.0
医药医疗,医疗服务,881251.SH,其他医疗服务,301235.SZ,华康洁净,68.25,000504.SZ,南华生物,37.6667,value-leader-v3.0.0
医药医疗,医疗美容,881258.SH,医美耗材,300896.SZ,爱美客,72.6667,688363.SH,华熙生物,31.6667,value-leader-v3.0.0
医药医疗,医药商业,881253.SH,医药流通,601607.SH,上海医药,68.2387,600998.SH,九州通,58.6909,value-leader-v3.0.0
医药医疗,医药商业,881254.SH,线下药店,603939.SH,益丰药房,72.4444,603233.SH,大参林,68.7778,value-leader-v3.0.0
医药医疗,生物制品,881235.SH,血液制品,002252.SZ,上海莱士,47.2389,600161.SH,天坛生物,65.7556,value-leader-v3.0.0
医药医疗,生物制品,881236.SH,疫苗,600739.SH,辽宁成大,53.6515,300142.SZ,沃森生物,56.5455,value-leader-v3.0.0
医药医疗,生物制品,881237.SH,抗体,688578.SH,艾力斯,75.8444,688331.SH,荣昌生物,45.2278,value-leader-v3.0.0
医药医疗,生物制品,881238.SH,诊断试剂,300832.SZ,新产业,79.6056,603658.SH,安图生物,73.6868,value-leader-v3.0.0
医药医疗,生物制品,881239.SH,基因药物,603087.SH,甘李药业,60.5249,600867.SH,通化东宝,68.9058,value-leader-v3.0.0
医药医疗,生物制品,881240.SH,其他生物制药,688235.SH,百济神州,57.6999,688278.SH,特宝生物,81.2601,value-leader-v3.0.0
商贸,一般零售,881201.SH,超市及便利店,002697.SZ,红旗连锁,79.7778,601933.SH,永辉超市,15.9048,value-leader-v3.0.0
商贸,一般零售,881202.SH,百货,000501.SZ,武商集团,64.05,600859.SH,王府井,52.4667,value-leader-v3.0.0
商贸,一般零售,881203.SH,多业态零售,600827.SH,百联股份,49.0303,600729.SH,重百集团,66.9394,value-leader-v3.0.0
商贸,专业连锁,881205.SH,专业连锁,002416.SZ,爱施德,45.0,301078.SZ,孩子王,67.3333,value-leader-v3.0.0
商贸,商业物业经营,881204.SH,商业物业经营,600415.SH,小商品城,71.2055,000061.SZ,农 产 品,57.2444,value-leader-v3.0.0
商贸,电子商务,881208.SH,综合电商,002127.SZ,南极电商,50.0,,,,value-leader-v3.0.0
商贸,电子商务,881209.SH,跨境电商,301381.SZ,赛维时代,60.0298,002315.SZ,焦点科技,81.1452,value-leader-v3.0.0
商贸,电子商务,881210.SH,电商服务,003010.SZ,若羽臣,62.0,002264.SZ,新 华 都,57.963,value-leader-v3.0.0
商贸,贸易,881206.SH,贸易,601061.SH,中信金属,44.2923,600710.SH,苏美达,61.3663,value-leader-v3.0.0
国防军工,军工电子,881291.SH,军工电子,302132.SZ,中航成飞,57.8412,002179.SZ,中航光电,67.4258,value-leader-v3.0.0
国防军工,地面兵装,881287.SH,地面兵装,600967.SH,内蒙一机,55.1091,002265.SZ,建设工业,56.8413,value-leader-v3.0.0
国防军工,航天装备,881289.SH,航天装备,601698.SH,中国卫通,67.3056,688818.SH,电科蓝天,51.0715,value-leader-v3.0.0
国防军工,航海装备,881290.SH,航海装备,600150.SH,中国船舶,62.2762,603268.SH,松发股份,46.7452,value-leader-v3.0.0
国防军工,航空装备,881288.SH,航空装备,600760.SH,中航沈飞,59.6552,000768.SZ,中航西飞,44.5823,value-leader-v3.0.0
家电,厨卫电器,881195.SH,厨房电器,002508.SZ,老板电器,87.1333,002543.SZ,万和电气,56.0,value-leader-v3.0.0
家电,厨卫电器,881196.SH,卫浴电器,603366.SH,日出东方,22.0,603551.SH,奥普科技,78.0,value-leader-v3.0.0
家电,家电零部件,881198.SH,家电零部件,002050.SZ,三花智控,68.4927,002011.SZ,盾安环境,64.449,value-leader-v3.0.0
家电,小家电,881191.SH,厨房小家电,002032.SZ,苏 泊 尔,64.7167,002705.SZ,新宝股份,66.5333,value-leader-v3.0.0
家电,小家电,881192.SH,清洁小家电,603486.SH,科沃斯,75.1238,688169.SH,石头科技,60.7429,value-leader-v3.0.0
家电,小家电,881193.SH,个护小家电,603868.SH,飞科电器,84.7143,603579.SH,荣泰健康,59.8572,value-leader-v3.0.0
家电,白色家电,881185.SH,空调,000333.SZ,美的集团,54.0,000651.SZ,格力电器,69.1111,value-leader-v3.0.0
家电,白色家电,881186.SH,冰洗,600690.SH,海尔智家,62.9333,002668.SZ,TCL智家,69.2762,value-leader-v3.0.0
家电,黑色家电,881188.SH,电视,600060.SH,海信视像,78.2222,002429.SZ,兆驰股份,51.1111,value-leader-v3.0.0
家电,黑色家电,881189.SH,其他黑色家电,000810.SZ,创维数字,60.2917,000801.SZ,四川九洲,72.5,value-leader-v3.0.0
建材,水泥,881092.SH,水泥制造,600585.SH,海螺水泥,65.1126,600801.SH,华新建材,71.4329,value-leader-v3.0.0
建材,水泥,881093.SH,水泥制品,003037.SZ,三和管桩,59.6333,002302.SZ,西部建设,53.8286,value-leader-v3.0.0
建材,玻璃玻纤,881095.SH,玻璃制造,601636.SH,旗滨集团,67.6667,300395.SZ,菲利华,71.1428,value-leader-v3.0.0
建材,玻璃玻纤,881096.SH,玻纤制造,600176.SH,中国巨石,67.3786,002080.SZ,中材科技,58.1083,value-leader-v3.0.0
建材,装饰建材,881098.SH,陶瓷,003012.SZ,东鹏控股,82.8889,002918.SZ,蒙娜丽莎,51.5556,value-leader-v3.0.0
建材,装饰建材,881099.SH,管材,002372.SZ,伟星新材,79.5333,002108.SZ,沧州明珠,36.8333,value-leader-v3.0.0
建材,装饰建材,881100.SH,耐火材料,002392.SZ,北京利尔,56.4524,002225.SZ,濮耐股份,43.2738,value-leader-v3.0.0
建材,装饰建材,881101.SH,防水材料,002271.SZ,东方雨虹,72.1667,300715.SZ,凯伦股份,48.8333,value-leader-v3.0.0
建材,装饰建材,881102.SH,涂料,603737.SH,三棵树,50.0,,,,value-leader-v3.0.0
建材,装饰建材,881103.SH,其他建材,000786.SZ,北新建材,84.4708,002043.SZ,兔 宝 宝,74.8,value-leader-v3.0.0
建筑,专业工程,881411.SH,化学工程,601117.SH,中国化学,53.0,002140.SZ,东华科技,67.5,value-leader-v3.0.0
建筑,专业工程,881412.SH,钢结构,002541.SZ,鸿路钢构,60.8333,601096.SH,宏盛华源,55.8594,value-leader-v3.0.0
建筑,专业工程,881413.SH,国际工程,600970.SH,中材国际,78.4444,000065.SZ,北方国际,47.6667,value-leader-v3.0.0
建筑,专业工程,881414.SH,其他专业工程,601618.SH,中国中冶,39.5302,603929.SH,亚翔集成,69.3107,value-leader-v3.0.0
